=== luc@lucario_v10 vs rule:v10,noS@lucario_v10 matches=250 ===
⚠ p100_luc_lucario_v10_vs_rulev10_lucario_v10.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea898-ed660f; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:v10,noS@lucario_v10 [lucario_v10], 250 paired matches (500 games)...
  match 228 seat0: winner=1 turns=12 selects=134
  match 228 seat1: winner=0 turns=9 selects=80
  match 229 seat0: winner=1 turns=4 selects=42
  match 229 seat1: winner=1 turns=14 selects=140
  match 230 seat0: winner=0 turns=13 selects=144
  match 230 seat1: winner=1 turns=16 selects=157
  match 231 seat0: winner=0 turns=7 selects=35
  match 231 seat1: winner=1 turns=12 selects=118
  match 232 seat0: winner=1 turns=12 selects=138
  match 232 seat1: winner=0 turns=11 selects=98
  match 233 seat0: winner=0 turns=11 selects=123
  match 233 seat1: winner=1 turns=14 selects=167
  match 234 seat0: winner=0 turns=15 selects=103
  match 234 seat1: winner=1 turns=10 selects=65
  match 235 seat0: winner=0 turns=7 selects=68
  match 235 seat1: winner=1 turns=12 selects=81
  match 236 seat0: winner=1 turns=6 selects=48
  match 236 seat1: winner=0 turns=11 selects=145
  match 237 seat0: winner=1 turns=10 selects=150
  match 237 seat1: winner=0 turns=19 selects=134
  match 238 seat0: winner=1 turns=12 selects=147
  match 238 seat1: winner=0 turns=5 selects=49
  match 239 seat0: winner=0 turns=13 selects=113
  match 239 seat1: winner=1 turns=23 selects=197
  match 240 seat0: winner=1 turns=12 selects=150
  match 240 seat1: winner=0 turns=11 selects=130
  match 241 seat0: winner=0 turns=13 selects=146
  match 241 seat1: winner=0 turns=3 selects=46
  match 242 seat0: winner=0 turns=11 selects=127
  match 242 seat1: winner=0 turns=15 selects=162
  match 243 seat0: winner=0 turns=11 selects=144
  match 243 seat1: winner=0 turns=11 selects=148
  match 244 seat0: winner=1 turns=12 selects=142
  match 244 seat1: winner=1 turns=10 selects=138
  match 245 seat0: winner=1 turns=8 selects=63
  match 245 seat1: winner=1 turns=12 selects=136
  match 246 seat0: winner=0 turns=11 selects=108
  match 246 seat1: winner=1 turns=14 selects=107
  match 247 seat0: winner=0 turns=11 selects=140
  match 247 seat1: winner=0 turns=5 selects=66
  match 248 seat0: winner=1 turns=12 selects=138
  match 248 seat1: winner=1 turns=14 selects=88
  match 249 seat0: winner=0 turns=11 selects=90
  match 249 seat1: winner=0 turns=14 selects=144

A=bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.440 [0.397, 0.484] W220/D0/L280 over 500 games
  as P0: W/D/L=(123, 0, 127)  as P1: W/D/L=(97, 0, 153)
  elapsed 75.5s; archived 500 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_luc_lucario_v10_vs_rulev10_lucario_v10.jsonl
  [health] OK calls=32937 fallbacks=0 net_missing=0 deck=500
