=== oger@teal_mask_ogerpon vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacae-a83f02; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 196 seat0: winner=1 turns=17 selects=115
  match 196 seat1: winner=0 turns=24 selects=135
  match 197 seat0: winner=1 turns=19 selects=125
  match 197 seat1: winner=0 turns=20 selects=132
  match 198 seat0: winner=1 turns=20 selects=131
  match 198 seat1: winner=0 turns=22 selects=135
  match 199 seat0: winner=1 turns=24 selects=132
  match 199 seat1: winner=0 turns=20 selects=129

A=bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.003 [0.000, 0.014] W1/D0/L399 over 400 games
  as P0: W/D/L=(1, 0, 199)  as P1: W/D/L=(0, 0, 200)
  elapsed 74.0s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_oger_teal_mask_ogerpon_vs_rulecrustle_crustle_v1.jsonl
  [health] OK calls=39297 fallbacks=0 net_missing=0 deck=400
